Objects
100
,,Global Angle (Quaternion) px4 bachelor:px4 bachelor,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
100,0,-0.002496,0.040504,0.119170,0.992044,1998.642578,2973.693604,757.292358
101,0,-0.002365,0.040536,0.119057,0.992057,1998.645996,2973.613281,757.230652
102,0,-0.002109,0.040525,0.118944,0.992071,1998.638428,2973.532959,757.189087
103,0,-0.001582,0.040350,0.118843,0.992092,1998.622314,2973.467285,757.183472
104,0,-0.000723,0.039961,0.118737,0.992121,1998.588135,2973.414551,757.213196
105,0,-0.001684,0.040266,0.118814,0.992098,1998.588623,2973.538330,757.277649
106,0,-0.002499,0.040414,0.118875,0.992083,1998.581909,2973.630371,757.344788
107,0,-0.003042,0.040551,0.118871,0.992077,1998.576538,2973.707275,757.400940
108,0,-0.003429,0.040584,0.118880,0.992073,1998.585938,2973.762207,757.443359
109,0,-0.003549,0.040651,0.118865,0.992072,1998.608887,2973.799072,757.470398
110,0,-0.003193,0.040421,0.119394,0.992019,1998.663452,2973.867676,757.498352
111,0,-0.003307,0.040591,0.119199,0.992035,1998.670898,2973.846924,757.488281
112,0,-0.003414,0.040638,0.119120,0.992042,1998.666138,2973.831299,757.486206
113,0,-0.003672,0.041021,0.118836,0.992059,1998.658447,2973.778809,757.440491
114,0,-0.003837,0.041239,0.118704,0.992066,1998.625488,2973.800781,757.467651
115,0,-0.003927,0.041269,0.118639,0.992072,1998.578247,2973.866943,757.540039
116,0,-0.004066,0.041434,0.118638,0.992064,1998.524536,2973.957275,757.595459
117,0,-0.004431,0.041770,0.118682,0.992043,1998.444336,2974.034912,757.601074
118,0,-0.005181,0.042299,0.118876,0.991994,1998.323364,2974.092041,757.535828
119,0,-0.006162,0.042798,0.119432,0.991900,1998.165283,2974.097168,757.422180
120,0,-0.006735,0.043014,0.120866,0.991714,1998.010986,2974.125000,757.169556
121,0,-0.003547,0.042520,0.119864,0.991873,1998.038086,2973.990479,757.322876
122,0,-0.001872,0.042042,0.119260,0.991971,1997.986938,2973.886963,757.384094
123,0,-0.001209,0.041281,0.118923,0.992044,1997.899170,2973.822266,757.400879
124,0,-0.001115,0.040297,0.118447,0.992142,1997.754883,2973.782471,757.441589
125,0,-0.000646,0.038706,0.119510,0.992078,1997.649048,2973.885986,757.551697
126,0,-0.000799,0.038800,0.118906,0.992147,1997.508789,2973.851318,757.635742
127,0,-0.001348,0.039286,0.118018,0.992233,1997.411865,2973.809570,757.737244
128,0,-0.002522,0.040697,0.116254,0.992382,1997.426758,2973.557861,757.638000
129,0,-0.003457,0.041747,0.115147,0.992465,1997.493896,2973.226318,757.419983
130,0,-0.004435,0.042244,0.114340,0.992533,1997.532104,2972.746582,757.118225
131,0,-0.005240,0.039765,0.114228,0.992645,1997.521362,2972.092285,757.041077
132,0,-0.007758,0.041116,0.111398,0.992895,1997.504639,2971.213867,756.495117
133,0,-0.008260,0.041482,0.109625,0.993073,1997.401245,2970.591309,756.170898
134,0,-0.008069,0.042133,0.108646,0.993155,1997.332397,2970.016846,755.778809
135,0,-0.007928,0.042557,0.108051,0.993202,1997.309570,2969.832520,755.727539
136,0,-0.006042,0.041501,0.108062,0.993259,1997.338379,2970.015625,756.051453
137,0,-0.006688,0.041468,0.107966,0.993267,1997.339355,2970.279297,756.191895
138,0,-0.007178,0.041308,0.108048,0.993261,1997.389648,2970.656494,756.364319
139,0,-0.007993,0.041330,0.108153,0.993243,1997.476929,2971.029053,756.502747
140,0,-0.008671,0.041468,0.108187,0.993227,1997.597168,2971.336182,756.591919
141,0,-0.009217,0.041719,0.108073,0.993224,1997.725952,2971.534180,756.644348
142,0,-0.009165,0.041669,0.107939,0.993242,1997.821289,2971.621094,756.707520
143,0,-0.008615,0.041154,0.107519,0.993314,1997.841187,2971.595459,756.741882
144,0,-0.007426,0.039878,0.107093,0.993421,1997.745850,2971.468018,756.745117
145,0,-0.011233,0.041090,0.106087,0.993444,1997.447021,2971.320312,756.511536
146,0,-0.011948,0.041323,0.106066,0.993428,1997.329956,2971.211670,756.218567
147,0,-0.011953,0.041362,0.106021,0.993431,1997.254150,2971.065430,756.063477
148,0,-0.011835,0.041481,0.106079,0.993422,1997.226685,2970.931641,756.004333
149,0,-0.011793,0.041670,0.106094,0.993413,1997.231812,2970.813232,756.015198
150,0,-0.011869,0.041994,0.106088,0.993399,1997.255981,2970.723877,756.036255
151,0,-0.011849,0.042366,0.106010,0.993391,1997.298584,2970.628418,756.013000
152,0,-0.011639,0.042828,0.105960,0.993379,1997.347656,2970.550537,755.956421
153,0,-0.011468,0.043300,0.105885,0.993369,1997.406128,2970.467773,755.900940
154,0,-0.011254,0.043645,0.105833,0.993362,1997.462402,2970.413086,755.885986
155,0,-0.011129,0.043794,0.105818,0.993358,1997.508789,2970.387939,755.927979
156,0,-0.011301,0.043843,0.105765,0.993360,1997.519531,2970.395508,756.025208
157,0,-0.011618,0.043708,0.105750,0.993364,1997.509277,2970.443848,756.130920
158,0,-0.011946,0.043621,0.105753,0.993363,1997.503418,2970.508789,756.216492
159,0,-0.012209,0.043638,0.105838,0.993350,1997.542358,2970.565430,756.268799
160,0,-0.012369,0.043845,0.105970,0.993325,1997.629517,2970.591309,756.298035
161,0,-0.012490,0.044250,0.106041,0.993298,1997.756836,2970.598633,756.316406
162,0,-0.012471,0.044706,0.106093,0.993272,1997.890137,2970.566162,756.335632
163,0,-0.012289,0.045037,0.106335,0.993234,1998.003418,2970.488037,756.371094
164,0,-0.012209,0.045341,0.106441,0.993210,1998.056763,2970.365234,756.419617
165,0,-0.012180,0.045625,0.106513,0.993189,1998.096436,2970.229980,756.458923
166,0,-0.012231,0.045865,0.106640,0.993164,1998.130005,2970.134277,756.494873
167,0,-0.012420,0.046157,0.106641,0.993148,1998.160400,2970.087891,756.536804
168,0,-0.012399,0.046244,0.105963,0.993217,1997.975952,2970.135986,756.458252
169,0,-0.012149,0.046043,0.106209,0.993203,1998.029541,2970.012939,756.365906
170,0,-0.011946,0.045564,0.105784,0.993273,1997.834473,2969.997314,756.126770
171,0,-0.011515,0.045468,0.105524,0.993310,1997.756348,2969.933838,755.872864
172,0,-0.010960,0.045708,0.105442,0.993314,1997.780884,2969.833008,755.647644
173,0,-0.010370,0.046022,0.105603,0.993289,1997.844604,2969.755615,755.443970
174,0,-0.010071,0.046330,0.105679,0.993269,1997.904053,2969.728516,755.293091
175,0,-0.009963,0.046710,0.105692,0.993251,1997.946777,2969.779541,755.173706
176,0,-0.010189,0.047179,0.106166,0.993176,1998.125610,2969.794922,755.159119
177,0,-0.010502,0.047546,0.106434,0.993127,1998.185669,2969.882568,755.151001
178,0,-0.010675,0.047860,0.106560,0.993096,1998.189697,2970.012695,755.187805
179,0,-0.010962,0.048136,0.106606,0.993075,1998.186890,2970.134277,755.240845
180,0,-0.011182,0.048366,0.106678,0.993054,1998.206665,2970.244873,755.298584
181,0,-0.011195,0.048651,0.106288,0.993081,1998.128784,2970.406982,755.241821
182,0,-0.011180,0.048965,0.106140,0.993082,1998.159668,2970.472656,755.176575
183,0,-0.011075,0.049262,0.106080,0.993075,1998.229614,2970.476074,755.091614
184,0,-0.010957,0.049287,0.106141,0.993068,1998.292847,2970.440674,754.996338
185,0,-0.010841,0.049025,0.106305,0.993065,1998.339600,2970.398682,754.884827
186,0,-0.010697,0.048733,0.106910,0.993016,1998.537964,2970.251221,754.856506
187,0,-0.010516,0.048625,0.107255,0.992986,1998.643433,2970.133301,754.812988
188,0,-0.010070,0.048625,0.107240,0.992992,1998.570679,2970.145264,754.659058
189,0,-0.009462,0.048803,0.107288,0.992984,1998.567017,2970.115234,754.513611
190,0,-0.008884,0.048976,0.107373,0.992972,1998.588379,2970.067139,754.374817
191,0,-0.008231,0.049040,0.107471,0.992964,1998.603516,2969.989746,754.229675
192,0,-0.008003,0.048588,0.107402,0.992995,1998.477905,2969.964844,754.154053
193,0,-0.009986,0.045595,0.106680,0.993197,1997.591309,2970.306885,754.253357
194,0,-0.012481,0.041460,0.105600,0.993466,1996.325562,2970.846191,754.541199
195,0,-0.014672,0.037039,0.104635,0.993712,1994.979736,2971.520752,754.705994
196,0,-0.016485,0.033272,0.104480,0.993834,1994.143799,2971.679199,755.022156
197,0,-0.017544,0.030550,0.104118,0.993941,1993.415161,2971.857666,755.003906
198,0,-0.017823,0.028689,0.104164,0.993987,1993.288330,2971.669434,754.785645
199,0,-0.017096,0.028591,0.104376,0.993980,1993.668823,2971.069336,754.620178
200,0,-0.015276,0.029938,0.104366,0.993971,1994.110352,2970.535889,754.231384
201,0,-0.013216,0.032353,0.104496,0.993911,1994.768066,2969.897461,753.864563
202,0,-0.012233,0.035187,0.104347,0.993843,1995.573853,2969.190674,753.599548
203,0,-0.011261,0.038094,0.104570,0.993724,1996.414551,2968.638916,753.394043
204,0,-0.010637,0.040584,0.104859,0.993602,1997.144775,2968.340088,753.330994
205,0,-0.010201,0.042205,0.105114,0.993512,1997.714966,2968.317627,753.416504
206,0,-0.010419,0.043315,0.105169,0.993456,1998.093018,2968.467041,753.581726
