dataset,method,offset,mae (m),rmse (m),mean (m),median (m),max (m),min (m),std (m),sse,avg_cpu (%),avg_mem (MB),,winners
AUDrone2,ORB-SLAM3_2,-0.25,0.456088,0.489133,0.456088,0.450146,0.979881,0.142821,0.176734,54.310011,,,,0
AUDrone2,ORB-SLAM3,-0.2,0.459639,0.512013,0.459639,0.441724,1.215145,0.031697,0.225586,81.006491,,,,0
AUDrone1,ORB-SLAM3,-0.2,0.466629,0.520425,0.466629,0.470767,0.973238,0.029006,0.230433,39.27205,,,,0
AUDrone2,ORB-SLAM3_2,1.25,0.468907,0.49386,0.468907,0.507574,0.779159,0.138229,0.154997,54.633057,,,,0
AUDrone1,ORB-SLAM3_2,-0.25,0.469741,0.525236,0.469741,0.502904,1.05186,0.066861,0.234982,37.518727,,,,0
AUDrone2,ORB-SLAM3,1.25,0.470796,0.499279,0.470796,0.476228,0.846066,0.202785,0.166227,75.033227,,,,0
AUDrone1,ORB-SLAM3,-0.15,0.483252,0.540013,0.483252,0.489195,1.009113,0.024785,0.241002,42.284058,,,,0
AUDrone2,ORB-SLAM3_2,-0.3,0.484888,0.519211,0.484888,0.481103,1.030817,0.154265,0.185643,61.46423,,,,0
AUDrone1,ORB-SLAM3_2,-0.2,0.48716,0.544755,0.48716,0.507476,1.085598,0.071161,0.243788,40.359046,,,,0
AUDrone2,ORB-SLAM3,-0.25,0.488896,0.543765,0.488896,0.473729,1.279768,0.041634,0.238036,91.365316,,,,0
AUDrone2,ORB-SLAM3_2,1.3,0.495543,0.522633,0.495543,0.538983,0.823007,0.133704,0.166079,61.45772,,,,0
AUDrone2,ORB-SLAM3,1.3,0.496884,0.528098,0.496884,0.505602,0.89693,0.215352,0.178871,84.503067,,,,0
AUDrone1,ORB-SLAM3,-0.1,0.500304,0.560055,0.500304,0.511814,1.043175,0.019079,0.25171,45.480968,,,,0
AUDrone1,ORB-SLAM3_2,-0.15,0.503409,0.563856,0.503409,0.516603,1.115707,0.076171,0.253995,43.238967,,,,0
AUDrone2,ORB-SLAM3_2,-0.35,0.514366,0.550008,0.514366,0.513336,1.076389,0.165508,0.194775,68.367109,,,,0
AUDrone2,ORB-SLAM3,-0.3,0.5172,0.574876,0.5172,0.505585,1.340946,0.052792,0.25097,102.449402,,,,0
AUDrone1,ORB-SLAM3,-0.05,0.51757,0.580058,0.51757,0.534151,1.075177,0.017323,0.261895,48.787828,,,,0
AUDrone1,ORB-SLAM3_2,-0.1,0.520345,0.583054,0.520345,0.533571,1.146787,0.084004,0.263045,46.233438,,,,0
AUDrone2,ORB-SLAM3,1.35,0.524184,0.558078,0.524184,0.532264,0.945151,0.223496,0.191525,94.369539,,,,0
AUDrone2,ORB-SLAM3_2,1.35,0.524275,0.553044,0.524275,0.567892,0.860525,0.125434,0.176051,68.512144,,,,0
AUDrone1,ORB-SLAM3,0,0.534339,0.59978,0.534339,0.551142,1.107129,0.022328,0.272428,52.161658,,,,0
AUDrone1,ORB-SLAM3_2,-0.05,0.53652,0.601682,0.53652,0.552989,1.177284,0.091678,0.272339,49.234958,,,,0
AUDrone2,ORB-SLAM3_2,-0.4,0.54043,0.578315,0.54043,0.536319,1.122521,0.17352,0.205873,76.254269,,,,0
AUDrone2,ORB-SLAM3,-0.35,0.546107,0.606489,0.546107,0.537502,1.402125,0.061271,0.263812,114.027083,,,,0
AUDrone1,ORB-SLAM3,0.05,0.550596,0.618924,0.550596,0.569087,1.139403,0.028628,0.282684,55.544616,,,,0
AUDrone2,ORB-SLAM3_2,1.4,0.551658,0.582405,0.551658,0.598789,0.902483,0.124792,0.186732,75.640637,,,,0
AUDrone1,ORB-SLAM3_2,0,0.551993,0.619737,0.551993,0.571307,1.213951,0.093944,0.281739,52.233989,,,,0
AUDrone2,ORB-SLAM3,1.4,0.552776,0.589115,0.552776,0.559385,0.993616,0.223234,0.203703,104.811102,,,,0
AUDrone1,ORB-SLAM3,0.1,0.5668,0.638156,0.5668,0.587135,1.171869,0.035387,0.293225,59.050181,,,,0
AUDrone2,ORB-SLAM3_2,-0.45,0.567996,0.607826,0.567996,0.561294,1.174219,0.181313,0.216409,83.496179,,,,0
AUDrone1,ORB-SLAM3_2,0.05,0.568331,0.638528,0.568331,0.591308,1.248844,0.092786,0.291065,55.449724,,,,0
AUDrone2,ORB-SLAM3,-0.4,0.573604,0.637249,0.573604,0.567694,1.461704,0.068156,0.277605,126.292785,,,,0
AUDrone2,ORB-SLAM3_2,1.45,0.577952,0.61104,0.577952,0.629929,0.948812,0.129212,0.198347,83.634783,,,,0
AUDrone2,ORB-SLAM3,1.45,0.579151,0.618462,0.579151,0.586901,1.042679,0.208927,0.216977,115.896133,,,,0
AUDrone1,ORB-SLAM3,0.15,0.582535,0.656868,0.582535,0.61233,1.203271,0.034014,0.303528,62.564047,,,,0
AUDrone1,ORB-SLAM3_2,0.1,0.584266,0.65706,0.584266,0.60976,1.281685,0.092863,0.3006,58.714909,,,,0
AUDrone2,ORB-SLAM3_2,-0.5,0.597027,0.638236,0.597027,0.593244,1.234149,0.193544,0.225617,92.467214,,,,0
AUDrone1,ORB-SLAM3,0.2,0.598679,0.676048,0.598679,0.635307,1.232238,0.033562,0.314045,66.270866,,,,0
AUDrone1,ORB-SLAM3_2,0.15,0.59996,0.675118,0.59996,0.627406,1.313282,0.09715,0.309568,61.986642,,,,0
AUDrone2,ORB-SLAM3,-0.45,0.600297,0.667515,0.600297,0.597278,1.518876,0.073279,0.291924,138.128679,,,,0
AUDrone2,ORB-SLAM3_2,1.5,0.605075,0.640357,0.605075,0.661917,0.992075,0.127989,0.209623,91.852764,,,,0
AUDrone2,ORB-SLAM3,1.5,0.606505,0.648568,0.606505,0.615989,1.088984,0.190011,0.229764,127.033228,,,,0
AUDrone1,ORB-SLAM3,0.25,0.614273,0.694684,0.614273,0.644087,1.262354,0.032288,0.324429,69.974869,,,,0
AUDrone1,ORB-SLAM3_2,0.2,0.615615,0.693213,0.615615,0.644424,1.349674,0.103364,0.31869,65.35411,,,,0
AUDrone2,ORB-SLAM3_2,-0.55,0.624683,0.66749,0.624683,0.624763,1.291402,0.207083,0.235189,100.692768,,,,0
AUDrone1,ORB-SLAM3,0.3,0.630102,0.713599,0.630102,0.664566,1.290942,0.031043,0.334956,73.837508,,,,0
AUDrone2,ORB-SLAM3_2,1.55,0.630913,0.66859,0.630913,0.688855,1.03662,0.129234,0.221273,100.577818,,,,0
AUDrone1,ORB-SLAM3_2,0.25,0.631049,0.711189,0.631049,0.66042,1.382444,0.110717,0.327975,68.787509,,,,0
AUDrone2,ORB-SLAM3,-0.5,0.631697,0.701191,0.631697,0.627957,1.579911,0.080033,0.304348,151.925829,,,,0
AUDrone2,ORB-SLAM3,1.55,0.631902,0.677183,0.631902,0.635802,1.131969,0.17821,0.243469,138.94876,,,,0
AUDrone1,ORB-SLAM3,0.35,0.646028,0.732576,0.646028,0.686783,1.318284,0.034683,0.34542,77.816788,,,,0
AUDrone1,ORB-SLAM3_2,0.3,0.646537,0.729142,0.646537,0.675532,1.413789,0.113623,0.337102,72.304161,,,,0
AUDrone2,ORB-SLAM3_2,-0.6,0.652973,0.697566,0.652973,0.651898,1.349612,0.217375,0.245409,109.971367,,,,0
AUDrone2,ORB-SLAM3_2,1.6,0.656768,0.696695,0.656768,0.713733,1.079864,0.137076,0.232466,109.696845,,,,0
AUDrone2,ORB-SLAM3,1.6,0.659678,0.707642,0.659678,0.669778,1.172914,0.163193,0.256091,150.727903,,,,0
AUDrone2,ORB-SLAM3,-0.55,0.661633,0.733674,0.661633,0.660941,1.635115,0.087878,0.317049,165.789627,,,,0
AUDrone1,ORB-SLAM3,0.4,0.661722,0.751282,0.661722,0.700104,1.356412,0.043468,0.355736,81.841525,,,,0
AUDrone1,ORB-SLAM3_2,0.35,0.662251,0.747378,0.662251,0.693128,1.442596,0.115168,0.346407,75.966099,,,,0
AUDrone1,ORB-SLAM3,0.45,0.6773,0.769837,0.6773,0.717537,1.393118,0.05445,0.365942,85.934009,,,,0
AUDrone1,ORB-SLAM3_2,0.4,0.67761,0.765293,0.67761,0.712094,1.471994,0.116655,0.355693,79.651597,,,,0
AUDrone2,ORB-SLAM3_2,-0.65,0.681613,0.727942,0.681613,0.680861,1.408249,0.227083,0.255545,119.757336,,,,0
AUDrone2,ORB-SLAM3,1.65,0.684923,0.735925,0.684923,0.689964,1.208545,0.155497,0.269195,163.558749,,,,0
AUDrone2,ORB-SLAM3_2,1.65,0.685243,0.727175,0.685243,0.746817,1.105523,0.140453,0.243361,117.389878,,,,0
AUDrone2,ORB-SLAM3,-0.6,0.688572,0.76402,0.688572,0.691182,1.687807,0.098344,0.331053,179.787995,,,,0
AUDrone1,ORB-SLAM3,0.5,0.692258,0.787915,0.692258,0.725928,1.428692,0.067089,0.376283,90.017471,,,,0
AUDrone1,ORB-SLAM3_2,0.45,0.692651,0.782926,0.692651,0.724017,1.499754,0.11845,0.364976,83.364374,,,,0
AUDrone1,ORB-SLAM3,0.55,0.70733,0.805975,0.70733,0.738311,1.463546,0.081728,0.386367,94.191434,,,,0
AUDrone1,ORB-SLAM3_2,0.5,0.707635,0.800615,0.707635,0.734954,1.522497,0.120619,0.374482,87.173944,,,,0
AUDrone2,ORB-SLAM3,1.7,0.709237,0.76287,0.709237,0.705091,1.260991,0.153417,0.280985,175.173023,,,,0
AUDrone2,ORB-SLAM3_2,1.7,0.709839,0.753776,0.709839,0.771105,1.130191,0.159805,0.25359,124.999364,,,,0
AUDrone2,ORB-SLAM3_2,-0.7,0.709951,0.757624,0.709951,0.708124,1.462013,0.238893,0.264505,129.148649,,,,0
AUDrone1,ORB-SLAM3,0.6,0.717367,0.818951,0.717367,0.750522,1.503464,0.112615,0.395051,96.578059,,,,0
AUDrone2,ORB-SLAM3,-0.65,0.71767,0.795758,0.71767,0.725466,1.741244,0.106557,0.343775,194.401901,,,,0
AUDrone1,ORB-SLAM3_2,0.55,0.722742,0.818452,0.722742,0.750906,1.55177,0.122889,0.384066,91.101375,,,,0
