dataset,method,offset,mae (m),rmse (m),mean (m),median (m),max (m),min (m),std (m),sse,avg_cpu (%),avg_mem (MB),,winners
AUDrone3,ORB-SLAM3_2,1.3,1.587765,3.243644,1.587765,0.919894,21.325504,0.151347,2.828468,2114.766572,,,,0
AUDrone3,ORB-SLAM3_2,1.95,1.597056,2.961782,1.597056,1.025298,18.929228,0.347935,2.494307,1745.658392,,,,0
AUDrone3,ORB-SLAM3_2,1.35,1.598028,3.248234,1.598028,0.92545,21.327606,0.180308,2.827955,2120.755247,,,,0
AUDrone3,ORB-SLAM3_2,2,1.60552,2.962109,1.60552,1.033919,18.93408,0.348714,2.489255,1754.81763,N/A,N/A,,0
AUDrone3,ORB-SLAM3_2,1.4,1.608421,3.253013,1.608421,0.939607,21.330258,0.205609,2.827557,2127.001222,,,,0
AUDrone3,ORB-SLAM3_2,1.45,1.618952,3.257828,1.618952,0.959281,21.33267,0.220129,2.82709,2133.302707,,,,0
AUDrone3,ORB-SLAM3_2,1.5,1.635356,3.270202,1.635356,0.973907,21.332292,0.23645,2.83193,2138.843893,,,,0
AUDrone3,ORB-SLAM3_2,1.55,1.646171,3.275293,1.646171,0.993347,21.335006,0.248764,2.831548,2145.508323,,,,0
AUDrone3,ORB-SLAM3_2,1.6,1.657152,3.280459,1.657152,0.998615,21.337571,0.264285,2.831123,2152.282504,,,,0
AUDrone3,ORB-SLAM3_2,1.65,1.673548,3.293034,1.673548,1.007484,21.337789,0.282302,2.836073,2157.970439,,,,0
AUDrone3,ORB-SLAM3_2,0.85,1.704977,3.61584,1.704977,0.968055,23.871325,0.196773,3.188628,2641.007955,,,,0
AUDrone3,ORB-SLAM3_2,0.9,1.717821,3.627334,1.717821,0.962219,23.869105,0.17192,3.194784,2644.668566,,,,0
AUDrone3,ORB-SLAM3_2,1,1.723139,3.625687,1.723139,0.97493,23.877749,0.123828,3.190047,2655.413014,,,,0
AUDrone3,ORB-SLAM3_2,0.95,1.723865,3.630654,1.723865,0.972315,23.871492,0.145828,3.195299,2649.511072,,,,0
AUDrone3,ORB-SLAM3_2,1.05,1.736618,3.637554,1.736618,0.97632,23.876355,0.118454,3.196241,2659.591567,,,,0
AUDrone3,ORB-SLAM3_2,1.1,1.743299,3.641079,1.743299,0.974172,23.878593,0.09204,3.196618,2664.749221,,,,0
AUDrone3,ORB-SLAM3_2,1.15,1.750406,3.644825,1.750406,0.973625,23.88113,0.059932,3.197003,2670.234655,,,,0
AUDrone3,ORB-SLAM3_2,1.2,1.75082,3.640266,1.75082,0.968465,23.887296,0.039,3.191577,2676.8106,,,,0
AUDrone3,ORB-SLAM3_2,0.4,1.892989,4.030747,1.892989,1.056051,26.156823,0.593097,3.558583,3298.125074,,,,0
AUDrone3,ORB-SLAM3_2,0.45,1.894877,4.032225,1.894877,1.055472,26.15798,0.563458,3.559253,3300.543787,,,,0
AUDrone3,ORB-SLAM3_2,0.5,1.897077,4.033889,1.897077,1.050637,26.159378,0.533798,3.559966,3303.268524,,,,0
AUDrone3,ORB-SLAM3_2,0.35,1.899439,4.038585,1.899439,1.057293,26.150257,0.627184,3.564029,3294.653833,,,,0
AUDrone3,ORB-SLAM3_2,0.55,1.899533,4.035721,1.899533,1.049635,26.160901,0.503296,3.560733,3306.270203,,,,0
AUDrone3,ORB-SLAM3_2,0.6,1.902303,4.037731,1.902303,1.05318,26.162627,0.472677,3.561533,3309.56424,,,,0
AUDrone3,ORB-SLAM3_2,0.65,1.905389,4.039866,1.905389,1.05851,26.164468,0.44148,3.562304,3313.064491,,,,0
AUDrone3,ORB-SLAM3_2,0.7,1.908703,4.042097,1.908703,1.063225,26.166404,0.40958,3.56306,3316.725144,,,,0
AUDrone3,ORB-SLAM3_2,0.75,1.912427,4.044581,1.912427,1.065429,26.168641,0.377469,3.563883,3320.803006,,,,0
AUDrone3,ORB-SLAM3_2,0.8,1.916492,4.047177,1.916492,1.067158,26.17067,0.345933,3.564646,3325.067429,,,,0
AUDrone3,ORB-SLAM3_2,0.05,2.13565,4.502045,2.13565,1.233046,29.008551,0.769583,3.963258,4134.755657,,,,0
AUDrone3,ORB-SLAM3_2,0.3,2.137481,4.504979,2.137481,1.20461,29.013089,0.738208,3.965603,4140.14635,,,,0
AUDrone3,ORB-SLAM3_2,0.15,2.144942,4.512905,2.144942,1.222802,29.003637,0.757691,3.970583,4134.360461,,,,0
AUDrone3,ORB-SLAM3_2,0,2.145013,4.512075,2.145013,1.24424,29.001529,0.776929,3.969602,4132.839778,,,,0
AUDrone3,ORB-SLAM3_2,0.2,2.145303,4.513433,2.145303,1.21552,29.004332,0.750511,3.970989,4135.329559,,,,0
AUDrone3,ORB-SLAM3_2,-0.05,2.145494,4.512256,2.145494,1.233413,29.001566,0.782766,3.969547,4133.171633,,,,0
AUDrone3,ORB-SLAM3_2,0.1,2.154036,4.522676,2.154036,1.233973,28.996412,0.764418,3.976773,4131.828583,,,,0
AUDrone3,ORB-SLAM3_2,0.25,2.155184,4.524571,2.155184,1.215848,28.999693,0.744955,3.978307,4135.29247,,,,0
AUDrone3,ORB-SLAM3_2,-0.1,2.407641,5.013185,2.407641,1.36736,31.806522,0.824716,4.397191,5152.065451,,,,0
AUDrone3,ORB-SLAM3_2,-0.15,2.418582,5.024608,2.418582,1.36509,31.798349,0.833271,4.40422,5150.324642,,,,0
AUDrone3,ORB-SLAM3_2,-0.25,2.950164,5.910767,2.950164,1.665909,32.181946,0.979052,5.121884,7231.992457,,,,0
AUDrone3,ORB-SLAM3_2,-0.3,2.951225,5.911392,2.951225,1.666239,32.181669,0.985793,5.121995,7233.524008,,,,0
AUDrone3,ORB-SLAM3_2,-0.55,2.958409,5.916312,2.958409,1.696131,32.18061,1.019098,5.12353,7245.567823,,,,0
AUDrone3,ORB-SLAM3_2,-0.2,2.961585,5.923337,2.961585,1.676493,32.17395,0.97588,5.129809,7227.700746,,,,0
AUDrone3,ORB-SLAM3_2,-0.65,2.961857,5.919166,2.961857,1.706675,32.180666,1.035404,5.124835,7252.560638,,,,0
AUDrone3,ORB-SLAM3_2,-0.7,2.963658,5.920762,2.963658,1.708848,32.180758,1.044753,5.125637,7256.472426,,,,0
AUDrone3,ORB-SLAM3_2,-0.35,2.964612,5.924736,2.964612,1.673882,32.171335,0.993941,5.129676,7231.115291,,,,0
AUDrone3,ORB-SLAM3_2,-0.75,2.965506,5.922473,2.965506,1.712984,32.180937,1.053539,5.126545,7260.668269,,,,0
AUDrone3,ORB-SLAM3_2,-0.4,2.965911,5.925553,2.965911,1.68059,32.170898,1.000788,5.129869,7233.109633,,,,0
AUDrone3,ORB-SLAM3_2,-0.45,2.967325,5.926506,2.967325,1.696455,32.170526,1.007499,5.130152,7235.435769,,,,0
AUDrone3,ORB-SLAM3_2,-0.5,2.968889,5.927606,2.968889,1.700402,32.170358,1.014696,5.130518,7238.122672,,,,0
AUDrone3,ORB-SLAM3_2,-0.85,2.969337,5.926105,2.969337,1.718981,32.181177,1.058432,5.128524,7269.575397,,,,0
AUDrone3,ORB-SLAM3_2,-0.6,2.972323,5.930288,2.972323,1.708795,32.170463,1.029964,5.131629,7244.673811,,,,0
AUDrone3,ORB-SLAM3_2,-0.8,2.979552,5.936692,2.979552,1.720253,32.170311,1.065194,5.134841,7260.329065,,,,0
AUDrone3,ORB-SLAM3_2,-0.9,2.983522,5.940575,2.983522,1.736663,32.17056,1.035585,5.137026,7269.830018,,,,0
AUDrone3,ORB-SLAM3_2,-0.95,2.985743,5.942717,2.985743,1.748035,32.170812,1.004234,5.138212,7275.071883,,,,0
AUDrone3,ORB-SLAM3_2,-1.2,2.985757,5.942836,2.985757,1.807111,32.184597,0.844432,5.138341,7310.679983,,,,0
AUDrone3,ORB-SLAM3_2,-1,2.987812,5.944771,2.987812,1.760011,32.170637,0.974583,5.139386,7280.102849,,,,0
AUDrone3,ORB-SLAM3_2,-1.15,2.995005,5.952209,2.995005,1.793372,32.172058,0.881494,5.143805,7298.330067,,,,0
AUDrone3,ORB-SLAM3_2,-1.25,3.000426,5.957854,3.000426,1.818707,32.173619,0.825887,5.147181,7312.182075,,,,0
AUDrone3,ORB-SLAM3_2,-1.05,3.002272,5.959541,3.002272,1.782415,32.159855,0.951711,5.148057,7280.806923,,,,0
AUDrone3,ORB-SLAM3_2,-1.3,3.003236,5.960942,3.003236,1.828411,32.174796,0.79773,5.149117,7319.762438,,,,0
AUDrone3,ORB-SLAM3_2,-1.35,3.006153,5.964212,3.006153,1.840736,32.176072,0.770147,5.151201,7327.796941,,,,0
AUDrone3,ORB-SLAM3_2,-1.4,3.009123,5.96739,3.009123,1.854512,32.176929,0.743917,5.153146,7335.606069,,,,0
AUDrone3,ORB-SLAM3_2,-1.45,3.012048,5.970744,3.012048,1.8678,32.178206,0.71752,5.155322,7343.854586,,,,0
AUDrone3,ORB-SLAM3_2,-1.1,3.01684,5.974394,3.01684,1.787551,32.148632,0.930477,5.156749,7281.450391,,,,0
AUDrone3,ORB-SLAM3_2,-1.8,3.025426,5.985485,3.025426,1.960553,32.201501,0.529994,5.164574,7415.987907,,,,0
AUDrone3,ORB-SLAM3_2,-1.5,3.027073,5.986111,3.027073,1.873166,32.166706,0.702672,5.164335,7345.873193,,,,0
AUDrone3,ORB-SLAM3_2,-1.85,3.029503,5.989738,3.029503,1.964403,32.203419,0.506266,5.167115,7426.531715,,,,0
AUDrone3,ORB-SLAM3_2,-1.55,3.030334,5.989637,3.030334,1.879862,32.167871,0.677273,5.16651,7354.52842,,,,0
AUDrone3,ORB-SLAM3_2,-1.75,3.03291,5.993079,3.03291,1.92197,32.186718,0.563886,5.16899,7398.901748,,,,0
AUDrone3,ORB-SLAM3_2,-1.9,3.033788,5.994037,3.033788,1.961448,32.205142,0.484716,5.169585,7437.194715,,,,0
AUDrone3,ORB-SLAM3_2,-1.65,3.037163,5.997031,3.037163,1.906915,32.170344,0.62517,5.171075,7372.697212,,,,0
AUDrone3,ORB-SLAM3_2,-1.95,3.038198,5.998388,3.038198,1.961035,32.206835,0.465205,5.172041,7447.996087,,,,0
AUDrone3,ORB-SLAM3_2,-1.7,3.040688,6.00082,3.040688,1.90669,32.171775,0.59882,5.173399,7382.017429,,,,0
AUDrone3,ORB-SLAM3_2,-2,3.042922,6.002801,3.042922,1.960415,32.208377,0.448807,5.174384,7458.960303,,,,0
AUDrone3,ORB-SLAM3_2,-1.6,3.057387,6.017203,3.057387,1.907226,32.14288,0.671393,5.182578,7349.965836,,,,0
