dataset,method,trajectory_file,mae (m),rmse (m),mean (m),median (m),max (m),min (m),std (m),sse,avg_cpu (%),avg_mem (MB),avg_mem (%)
MH_02_easy,OKVIS2,tum_okvis2.txt,0.02748,0.04392,0.02748,0.016176,0.249981,0.000735,0.034262,1.898126,38.19,,45.49
MH_02_easy,RVIO,tum_rvio.txt,0.158821,0.18081,0.158821,0.136442,0.530688,0.023659,0.086419,73.296179,1.47,,42.2
MH_02_easy,ORB-SLAM3_2,OrbSlam3TUM_mono2.txt,528.601303,637.612667,528.601303,485.145452,1596.836095,55.436568,356.553749,280925989.941137,4.46,,17.13
MH_02_easy,ORB-SLAM3_3,OrbSlam3TUM_mono3.txt,171.783105,230.364109,171.783105,125.500994,715.677316,30.470182,153.486766,46434169.752327,5.7,,17.71
MH_03_medium,VINS-Mono,tum_vinsmono.txt,0.170684,0.195036,0.170684,0.154964,0.448224,0.025023,0.094372,49.793097,1.81,,17.68
MH_03_medium,VINS-Fusion,tum_vinsfusion.txt,0.15756,0.167356,0.15756,0.155115,0.322571,0.036683,0.056416,36.466314,1.01,,11.7
MH_03_medium,Kimera,tum_kimera.txt,0.316701,0.342212,0.316701,0.298145,0.793414,0.067868,0.12965,77.057677,4.89,,78.02
MH_03_medium,SVO,svo_traj_tum.txt,1.308206,8.249798,1.308206,0.708016,131.544373,0.103103,8.145414,156127.7344,2.03,,12.93
MH_03_medium,Maplab,tum_maplab.txt,0.3405,0.362069,0.3405,0.32496,0.769784,0.030373,0.123101,172.388573,2.38,,12.96
MH_03_medium,ORB-SLAM3,OrbSlam3TUM.txt,0.047805,0.050223,0.047805,0.047954,0.09072,0.008484,0.015396,0.928218,14.49,,17.61
MH_03_medium,VI-Stereo-DSO,nt_MH_03_medium.txt,0.666602,0.722613,0.666602,0.629193,1.479886,0.250434,0.278946,1367.560708,16.08,,10.72
MH_03_medium,OKVIS2,tum_okvis2.txt,0.076575,0.090895,0.076575,0.046644,0.250061,0.010339,0.048972,7.881835,51.25,,48.57
MH_03_medium,RVIO,tum_rvio.txt,0.726665,1.451323,0.726665,0.448273,9.676961,0.053431,1.256302,5535.454014,0.2,,9.45
MH_03_medium,ORB-SLAM3_2,OrbSlam3TUM_mono2.txt,0.045451,0.0483,0.045451,0.043311,0.092627,0.008302,0.016343,0.928504,5.87,,16.84
MH_03_medium,ORB-SLAM3_3,OrbSlam3TUM_mono3.txt,0.04581,0.048515,0.04581,0.045087,0.096947,0.009674,0.015975,0.941495,5.61,,16.83
MH_04_difficult,VINS-Mono,tum_vinsmono.txt,0.330515,0.346827,0.330515,0.377679,0.483603,0.113592,0.105115,117.522551,2.0,,16.81
MH_04_difficult,VINS-Fusion,tum_vinsfusion.txt,0.190607,0.203359,0.190607,0.20835,0.379382,0.035758,0.070878,40.52762,1.1,,11.73
MH_04_difficult,Kimera,tum_kimera.txt,0.765103,0.832076,0.765103,0.704912,1.399256,0.16668,0.327059,301.864482,9.36,,77.26
MH_04_difficult,SVO,svo_traj_tum.txt,0.158209,0.250629,0.158209,0.147902,5.612175,0.016652,0.194383,100.127326,3.16,,12.73
MH_04_difficult,Maplab,tum_maplab.txt,0.343091,0.392622,0.343091,0.331224,0.859416,0.042423,0.190895,151.377589,2.4,,12.4
MH_04_difficult,ORB-SLAM3,OrbSlam3TUM.txt,4.618714,5.036666,4.618714,4.819677,8.77288,0.703696,2.008852,11948.32945,14.83,,13.94
MH_04_difficult,VI-Stereo-DSO,nt_MH_04_difficult.txt,0.851328,0.958736,0.851328,0.637414,1.863182,0.202632,0.440926,1806.179393,16.57,,10.11
MH_04_difficult,OKVIS2,tum_okvis2.txt,0.203862,0.220017,0.203862,0.162417,0.432409,0.068449,0.082751,46.858251,21.88,,55.21
MH_04_difficult,RVIO,tum_rvio.txt,0.280056,0.312804,0.280056,0.254183,0.593561,0.008125,0.139339,156.358837,0.81,,14.93
MH_05_difficult,VINS-Mono,tum_vinsmono.txt,0.295938,0.30232,0.295938,0.297474,0.428971,0.124802,0.061793,98.252424,2.02,,16.88
MH_05_difficult,VINS-Fusion,tum_vinsfusion.txt,0.347688,0.37353,0.347688,0.345953,0.713179,0.075465,0.136521,151.105571,1.14,,11.73
MH_05_difficult,Kimera,tum_kimera.txt,3.896512,4.483537,3.896512,3.740174,7.834635,0.625594,2.217951,9990.747628,4.94,,77.06
MH_05_difficult,SVO,svo_traj_tum.txt,0.194672,0.247912,0.194672,0.171619,3.979054,0.062228,0.153504,132.877485,3.76,,13.04
MH_05_difficult,Maplab,tum_maplab.txt,0.565615,0.620135,0.565615,0.562435,1.123861,0.099478,0.254258,426.87035,2.48,,12.51
MH_05_difficult,ORB-SLAM3,OrbSlam3TUM.txt,0.124365,0.13734,0.124365,0.110685,0.321871,0.021204,0.058272,6.922425,13.7,,16.88
MH_05_difficult,VI-Stereo-DSO,nt_MH_05_difficult.txt,0.091504,0.10633,0.091504,0.08001,0.257176,0.004189,0.054158,24.274171,15.93,,12.86
MH_05_difficult,OKVIS2,tum_okvis2.txt,0.083906,0.112238,0.083906,0.045055,0.42735,0.01266,0.074545,12.257153,57.54,,63.61
MH_05_difficult,RVIO,tum_rvio.txt,0.45679,0.46503,0.45679,0.459251,0.717762,0.19886,0.08715,471.214608,0.2,,9.01
