timestamp,cpu_percent,ram_percent
1748349785,13.6,83.0213
1748349785,13.3,83.0225
1748349785,12.8,83.0266
1748349785,11.3,83.0268
1748349786,11.3,83.0781
1748349786,12.8,83.0983
1748349786,12.8,83.0971
1748349786,13.3,83.1029
1748349786,11.6,83.1053
1748349787,10.8,83.1548
1748349787,13.6,83.1981
1748349787,15.1,83.1987
1748349787,16.7,83.2074
1748349787,13.9,83.2084
1748349788,10.6,83.2143
1748349788,12.4,83.2888
1748349788,12.4,83.284
1748349789,14.7,83.2916
1748349789,12.6,83.3018
1748349789,13.9,83.3322
1748349790,14.8,83.3661
1748349790,14.3,83.3622
1748349790,13,83.3678
1748349790,12,83.3696
1748349790,11.6,83.4029
1748349791,14.5,83.4362
1748349791,13.6,83.4369
1748349791,13.4,83.4482
1748349791,12.8,83.4466
1748349792,11.3,83.4667
1748349792,12.9,83.5122
1748349792,12.8,83.5105
1748349792,14.9,83.5276
1748349792,12.8,83.5313
1748349793,12.6,83.566
1748349793,13.3,83.6079
1748349793,13.3,83.6059
1748349793,14.1,83.6108
1748349793,11.7,83.6133
1748349794,11.2,83.6556
1748349794,13.2,83.6964
1748349794,13.4,83.6899
1748349794,14.3,83.6966
1748349795,12.4,83.7155
1748349795,10.7,83.7436
1748349796,13.2,83.7783
1748349796,12.8,83.7753
1748349796,14.7,83.7841
1748349796,12.6,83.778
1748349796,12.1,83.8072
1748349797,12.7,83.8346
1748349797,12.4,83.8324
1748349797,13.2,83.8425
1748349797,12.3,83.7886
1748349797,11.2,83.8707
1748349798,14.5,83.889
1748349798,14.4,83.889
1748349798,13.3,83.8938
1748349798,13.1,83.8963
1748349799,11.2,83.9194
1748349799,13.3,83.9634
1748349799,13.3,83.9634
1748349799,13.9,83.9724
1748349799,13.6,83.9673
1748349800,11.7,83.9678
1748349800,11.9,84.0505
1748349800,11.9,84.0508
1748349800,13.3,84.0607
1748349800,13.8,84.0762
1748349801,11.1,84.1066
1748349801,12.8,84.1467
1748349801,12.9,84.1467
1748349802,13.5,84.155
1748349802,12.9,84.1613
1748349802,11.7,84.2064
1748349803,13.8,84.2283
1748349803,13.8,84.2283
1748349803,12.6,84.2383
1748349803,13.6,84.2461
1748349803,10.8,84.2798
1748349804,13.5,84.3008
1748349804,13.4,84.3008
1748349804,13.3,84.2982
1748349804,11.7,84.3107
1748349805,13.8,84.3464
1748349805,13.7,84.3862
1748349805,13.7,84.385
1748349805,13.6,84.3903
1748349805,13.4,84.4048
1748349806,12.7,84.4537
1748349806,13.2,84.4915
1748349806,13.3,84.4903
1748349806,14.1,84.4969
1748349806,13.8,84.4912
1748349807,11.2,84.5401
1748349807,12.8,84.5615
1748349807,12.8,84.5615
1748349807,13.1,84.5774
1748349808,11.8,84.5779
1748349808,11.7,84.6228
1748349809,13.2,84.6505
1748349809,13.3,84.652
1748349809,13.8,84.6588
1748349809,10.9,84.6631
1748349809,12.2,84.6779
1748349810,12.8,84.6999
1748349810,12.9,84.699
1748349810,12.1,84.7089
1748349810,12.8,84.7132
1748349810,11.6,84.7398
1748349811,12.8,84.7571
1748349811,14.1,84.7498
1748349811,14.5,84.7603
1748349811,13.2,84.7612
1748349812,12.7,84.7876
1748349812,14.4,84.8165
1748349812,14.6,84.8095
1748349812,14.6,84.8121
1748349812,13.3,84.8193
1748349813,12.8,84.8388
1748349813,14.1,84.8685
1748349813,14.9,84.87
1748349813,15.2,84.8675
1748349813,12,84.872
1748349814,14.1,84.9056
1748349814,14.4,84.9514
1748349814,15.7,84.9461
