Objects
100
,,Global Angle (Quaternion) px4 bachelor:px4 bachelor,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
109,0,-0.014897,0.042660,0.413385,0.909434,2074.071289,2907.757812,757.060120
110,0,-0.014885,0.042671,0.413380,0.909436,2074.075684,2907.758301,757.061401
111,0,-0.014881,0.042675,0.413394,0.909430,2074.077881,2907.758789,757.062317
112,0,-0.014862,0.042696,0.413379,0.909436,2074.078125,2907.760742,757.060974
113,0,-0.014837,0.042709,0.413350,0.909449,2074.078369,2907.762451,757.065613
114,0,-0.014923,0.042693,0.413361,0.909443,2074.077637,2907.761475,757.069885
115,0,-0.014917,0.042700,0.413345,0.909450,2074.075684,2907.762207,757.073242
116,0,-0.014914,0.042704,0.413359,0.909444,2074.071045,2907.762939,757.074158
117,0,-0.014963,0.042685,0.413359,0.909444,2074.068115,2907.763428,757.076111
118,0,-0.014999,0.042703,0.413325,0.909458,2074.065430,2907.765625,757.079102
119,0,-0.015047,0.042720,0.413281,0.909477,2074.066162,2907.768555,757.083984
120,0,-0.015143,0.042734,0.413218,0.909503,2074.065186,2907.765869,757.086609
121,0,-0.015214,0.042768,0.413170,0.909522,2074.065918,2907.763916,757.088013
122,0,-0.015237,0.042799,0.413165,0.909522,2074.069092,2907.760254,757.084717
123,0,-0.015232,0.042785,0.413205,0.909505,2074.072998,2907.761230,757.086060
124,0,-0.015130,0.042790,0.413242,0.909489,2074.073486,2907.764648,757.085632
125,0,-0.015105,0.042772,0.413278,0.909475,2074.071533,2907.766602,757.086731
126,0,-0.015082,0.042725,0.413301,0.909466,2074.067383,2907.768555,757.086609
127,0,-0.015063,0.042697,0.413317,0.909461,2074.064453,2907.769775,757.086365
128,0,-0.015026,0.042676,0.413331,0.909456,2074.063232,2907.770508,757.088135
129,0,-0.014972,0.042670,0.413357,0.909445,2074.065674,2907.767090,757.086548
130,0,-0.014981,0.042679,0.413344,0.909451,2074.066895,2907.767578,757.085999
131,0,-0.015027,0.042669,0.413359,0.909444,2074.068359,2907.770264,757.085083
132,0,-0.014997,0.042701,0.413351,0.909446,2074.068115,2907.772949,757.080750
133,0,-0.014985,0.042710,0.413367,0.909439,2074.070068,2907.774902,757.076477
134,0,-0.014949,0.042705,0.413376,0.909436,2074.071289,2907.771240,757.069824
135,0,-0.014889,0.042742,0.413358,0.909443,2074.077148,2907.770752,757.068359
136,0,-0.014903,0.042738,0.413363,0.909441,2074.082764,2907.767822,757.069641
137,0,-0.014865,0.042745,0.413391,0.909428,2074.081055,2907.767822,757.068237
138,0,-0.014852,0.042768,0.413402,0.909422,2074.078857,2907.765625,757.063232
139,0,-0.014816,0.042790,0.413427,0.909410,2074.078369,2907.764404,757.053345
140,0,-0.014611,0.043017,0.413452,0.909392,2074.095215,2907.759521,757.017761
141,0,-0.014380,0.043321,0.413462,0.909377,2074.139648,2907.739014,756.935120
142,0,-0.014116,0.043507,0.413503,0.909353,2074.204102,2907.695557,756.809692
143,0,-0.013743,0.043587,0.413618,0.909303,2074.264160,2907.618164,756.655457
144,0,-0.013218,0.043629,0.413636,0.909300,2074.324219,2907.517578,756.472839
145,0,-0.012585,0.043586,0.413669,0.909296,2074.387451,2907.396973,756.264526
146,0,-0.011918,0.043425,0.413672,0.909312,2074.438721,2907.276123,756.051392
147,0,-0.011399,0.043077,0.413715,0.909315,2074.468018,2907.159668,755.866882
148,0,-0.011008,0.042690,0.413756,0.909320,2074.466309,2907.065186,755.737000
149,0,-0.010697,0.042312,0.413812,0.909315,2074.447266,2907.015625,755.665283
150,0,-0.010585,0.042015,0.413887,0.909297,2074.411133,2907.022217,755.643860
151,0,-0.010632,0.041807,0.413926,0.909288,2074.371338,2907.069824,755.661804
152,0,-0.010745,0.041707,0.413961,0.909275,2074.334229,2907.133789,755.705017
153,0,-0.010884,0.041774,0.413972,0.909266,2074.317139,2907.203369,755.755005
154,0,-0.011002,0.041960,0.413968,0.909257,2074.336670,2907.262451,755.787537
155,0,-0.011029,0.042351,0.413947,0.909248,2074.394043,2907.305420,755.788879
156,0,-0.010860,0.042814,0.413966,0.909220,2074.483643,2907.317871,755.728882
157,0,-0.010497,0.043375,0.413951,0.909205,2074.603027,2907.290527,755.605896
158,0,-0.009931,0.043924,0.413931,0.909194,2074.742920,2907.220947,755.417053
159,0,-0.008052,0.044624,0.414233,0.909041,2074.861084,2907.191650,755.161133
160,0,-0.007650,0.045016,0.414027,0.909119,2075.021240,2907.028320,754.897522
161,0,-0.007115,0.045226,0.413918,0.909162,2075.134033,2906.874023,754.642517
162,0,-0.006671,0.045233,0.413886,0.909180,2075.187744,2906.744873,754.442932
163,0,-0.006289,0.044949,0.413906,0.909187,2075.176758,2906.659180,754.320129
164,0,-0.006089,0.044564,0.413961,0.909183,2075.124512,2906.622559,754.280029
165,0,-0.006095,0.044202,0.414034,0.909167,2075.061279,2906.649902,754.313416
166,0,-0.007080,0.042662,0.415137,0.908730,2075.097900,2906.671143,754.322083
