timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
915397724410, -3.280792537751820337e+00, -1.756618201949786684e+00, -1.686581607418110096e+01, -1.278906433847251944e-01, 9.559572616157933078e-01, 2.535467899267078162e-01, -7.418707850115643931e-02, -9.262006745247404194e-01, -4.907863731481057479e-01, -2.383364138819039191e+00, 2.530377903434371904e-03, 2.360124360352187662e-03, 4.343018252359736979e-03, -5.969172875377319913e-04, 4.084072031525531649e-04, 1.246889281637162186e-02, 
915431062592, -3.316543052824445503e+00, -1.783617440985155067e+00, -1.694365623152341982e+01, -1.288807915179484842e-01, 9.562874899079439883e-01, 2.515214565447607686e-01, -7.510615900758900454e-02, -9.419046725288764410e-01, -5.021689815146328506e-01, -2.380386596293710078e+00, 3.299196029413075607e-03, 2.518512904052335692e-03, 4.420228931647342610e-03, -6.227932443937480352e-04, 4.258288481098415818e-04, 1.248171005944212660e-02, 
915464424644, -3.347405417529187854e+00, -1.799976437902684578e+00, -1.702274844472207960e+01, -1.288888031561755132e-01, 9.576881782798374321e-01, 2.464337220476515433e-01, -7.410431999388311652e-02, -9.429220852128399333e-01, -5.065399388077602705e-01, -2.360517683132990374e+00, 3.525614592555523143e-03, 2.209718772051269542e-03, 4.369494410664411140e-03, -6.244325042696030311e-04, 4.219443907790223656e-04, 1.248053794897623775e-02, 
915497779982, -3.377680664455846138e+00, -1.816434313033770565e+00, -1.710129515699279068e+01, -1.287272861267309831e-01, 9.589090468332500672e-01, 2.395499462300945404e-01, -8.086129462822964908e-02, -9.454503189802215823e-01, -4.969556265103555193e-01, -2.365037740039297010e+00, 3.352959247748069430e-03, 1.737605335165923149e-03, 4.222172357653855915e-03, -6.256390525786356639e-04, 4.242706741451659895e-04, 1.248177987410740118e-02, 
915531201850, -3.409312544764289132e+00, -1.834452021709961356e+00, -1.718072490364147953e+01, -1.291273047846801247e-01, 9.600110804039616585e-01, 2.330547955980585284e-01, -8.596701058784073091e-02, -9.496526972176981829e-01, -4.997420510307334918e-01, -2.376527622288420183e+00, 3.654347660276261248e-03, 2.013651669992269546e-03, 4.559249880094326003e-03, -6.233836177170965810e-04, 4.241736416991767253e-04, 1.248085661222536960e-02, 
915564500071, -3.440228148936702368e+00, -1.849991629119370318e+00, -1.725966612435489012e+01, -1.285240605965469185e-01, 9.627377227178968155e-01, 2.203781941225972651e-01, -8.972789231334973858e-02, -9.490039852054602543e-01, -5.039316508033263586e-01, -2.357291912370437892e+00, 3.348210132371750181e-03, 1.925837266699288643e-03, 4.354169958904071346e-03, -6.203975953437320659e-04, 4.219895442898669220e-04, 1.247853299346328784e-02, 
915597862969, -3.472502699263313453e+00, -1.867130385480392007e+00, -1.733825435590165753e+01, -1.258299924222067989e-01, 9.668611788137705387e-01, 1.999222048368064497e-01, -9.683690372509512478e-02, -9.553801490935632801e-01, -4.979527405832938070e-01, -2.359161192244620953e+00, 3.616277809063241089e-03, 2.063149548670869821e-03, 4.103922258144236321e-03, -6.199280327196963689e-04, 4.210348814542054507e-04, 1.247786776938957821e-02, 
915631227114, -3.504083904813583228e+00, -1.883420057263441194e+00, -1.741750179740243354e+01, -1.210182316169249178e-01, 9.714614374861147983e-01, 1.769665324299466158e-01, -1.014894550849724242e-01, -9.633735088848419670e-01, -4.970022947806380653e-01, -2.380047957526902458e+00, 3.553895884755291657e-03, 2.589123532212010605e-03, 3.696349234235797674e-03, -6.176391222061549313e-04, 4.201769884691778983e-04, 1.247621811327605593e-02, 
915664579863, -3.536723892890738075e+00, -1.901253592700576034e+00, -1.749644638716869238e+01, -1.186451029384188727e-01, 9.752906489860937445e-01, 1.539231778534559392e-01, -1.050673349262730566e-01, -9.694250539154207758e-01, -5.020096830631225471e-01, -2.367158164400466447e+00, 3.706730757729308646e-03, 2.109063893766701270e-03, 3.709304718948664564e-03, -6.208636198360113290e-04, 4.231506143258718694e-04, 1.247938552423796463e-02, 
915697936692, -3.569580681360540186e+00, -1.918502161041654164e+00, -1.757558738363251649e+01, -1.147012862238284275e-01, 9.777178083705255762e-01, 1.316257362770164030e-01, -1.165597172408584931e-01, -9.792348946218143446e-01, -5.009236157911796106e-01, -2.396635717323888581e+00, 3.890680444430155965e-03, 1.933195019676704892e-03, 3.431099921005396035e-03, -6.239718819422944429e-04, 4.240905263584755368e-04, 1.248131380144183039e-02, 
