Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
157,0,0.009600,0.036497,0.371939,0.927490,2064.618896,2876.604248,751.274536
158,0,0.011462,0.038131,0.371723,0.927490,2064.536621,2876.586670,751.215759
159,0,0.012688,0.039182,0.371603,0.927478,2064.543701,2876.516113,751.115173
160,0,0.013702,0.039884,0.371507,0.927472,2064.593262,2876.417480,750.987549
161,0,0.014056,0.040514,0.371563,0.927417,2064.700928,2876.357666,750.899963
162,0,0.014562,0.040826,0.371504,0.927419,2064.816162,2876.288330,750.806519
163,0,0.015100,0.040920,0.371393,0.927451,2064.929688,2876.238525,750.722290
164,0,0.015504,0.041650,0.370317,0.927842,2065.138916,2876.236084,750.547180
165,0,0.015919,0.042091,0.369656,0.928078,2065.252686,2876.261475,750.456299
166,0,0.016257,0.042193,0.369255,0.928228,2065.321045,2876.294922,750.415833
167,0,0.016608,0.042179,0.368975,0.928333,2065.357666,2876.329834,750.393188
168,0,0.016893,0.042088,0.368878,0.928371,2065.374756,2876.351807,750.372986
169,0,0.016218,0.042205,0.368748,0.928429,2065.456299,2876.429443,750.431213
170,0,0.015908,0.042286,0.368700,0.928450,2065.500488,2876.446289,750.442322
171,0,0.015703,0.042331,0.368701,0.928451,2065.536377,2876.414307,750.429199
172,0,0.015596,0.042423,0.368749,0.928430,2065.551025,2876.360352,750.380005
173,0,0.017460,0.041485,0.369541,0.928124,2065.374756,2876.169922,750.283752
174,0,0.018564,0.041070,0.370054,0.927916,2065.281738,2876.075195,750.157593
175,0,0.019031,0.040997,0.370426,0.927762,2065.235840,2876.039307,750.023499
176,0,0.019236,0.041050,0.370715,0.927640,2065.232422,2876.044434,749.920349
177,0,0.018634,0.041219,0.370939,0.927555,2065.301025,2876.123535,749.937866
178,0,0.017575,0.042132,0.370109,0.927866,2065.514404,2876.251221,749.938110
179,0,0.017748,0.042306,0.369709,0.928014,2065.582764,2876.256836,749.922302
180,0,0.018117,0.041674,0.370247,0.927821,2065.499023,2876.230713,749.986450
181,0,0.018014,0.041847,0.369728,0.928023,2065.574707,2876.280273,750.061646
182,0,0.018072,0.041300,0.370126,0.927887,2065.477051,2876.284424,750.160156
183,0,0.017949,0.040822,0.370387,0.927806,2065.396729,2876.298096,750.248596
184,0,0.017783,0.040419,0.370576,0.927752,2065.313721,2876.318115,750.321167
185,0,0.017448,0.040620,0.369991,0.927983,2065.324707,2876.365479,750.361877
186,0,0.016483,0.040352,0.370389,0.927853,2065.253906,2876.423096,750.433899
187,0,0.013888,0.039298,0.370109,0.928053,2065.321289,2876.373291,750.522888
188,0,0.012246,0.038705,0.369910,0.928180,2065.368652,2876.337402,750.549255
189,0,0.013249,0.039380,0.370202,0.928022,2065.273926,2876.397705,750.466370
190,0,0.013903,0.039803,0.370305,0.927953,2065.193115,2876.434082,750.404175
191,0,0.014474,0.039984,0.370297,0.927940,2065.123535,2876.456787,750.372253
192,0,0.014839,0.039942,0.370284,0.927941,2065.065430,2876.463623,750.364136
193,0,0.015732,0.039621,0.370251,0.927953,2064.981445,2876.404297,750.301208
194,0,0.016301,0.039345,0.370234,0.927962,2064.933838,2876.361816,750.259399
195,0,0.016678,0.039156,0.370259,0.927953,2064.908691,2876.336182,750.202637
196,0,0.017059,0.039043,0.370327,0.927924,2064.898438,2876.307373,750.114380
197,0,0.017430,0.038912,0.370493,0.927856,2064.914062,2876.262451,749.990356
198,0,0.017866,0.038877,0.370636,0.927792,2064.926758,2876.211670,749.833984
