timestamp,cpu_percent,ram_percent
1748437471,36.9,23.8517
1748437472,32.4,23.8244
1748437473,32.7,23.8183
1748437475,32.4,23.8226
1748437476,34.2,23.8078
1748437477,33.5,23.8578
1748437478,32,23.8491
1748437479,31.2,23.8561
1748437481,30,23.8494
1748437482,40.4,23.8877
1748437483,32.8,23.879
1748437484,32.2,23.8927
1748437485,31.1,23.8728
1748437487,33.5,23.8652
1748437488,32.2,23.8409
1748437489,35.2,23.8932
1748437490,31.9,23.9042
1748437491,39.1,23.8493
1748437493,40.2,23.9543
1748437494,36.6,23.9649
1748437495,35,23.971
1748437496,33.5,23.9991
1748437497,37.4,24.0152
1748437499,38.5,24.0548
1748437500,34.8,24.0717
1748437501,33.7,24.0844
1748437502,32.7,24.1304
1748437504,42.5,24.0845
1748437505,31.5,24.1136
1748437506,36,24.1195
1748437507,37.3,24.135
1748437508,33.3,24.1533
1748437510,33.2,24.1947
1748437511,33.7,24.2213
1748437512,33.2,24.2337
1748437513,30.2,24.2542
1748437514,32.4,24.2673
1748437516,31.6,24.266
1748437517,33.3,24.2552
1748437518,32.7,24.2422
1748437519,34.4,24.2853
1748437520,33.2,24.3094
1748437522,31.8,24.3217
1748437523,30.7,24.3176
1748437524,32.5,24.3293
1748437525,32.9,24.341
1748437526,35,24.3306
1748437528,31,24.335
1748437529,32.8,24.3562
1748437530,31.7,24.3572
1748437531,31.6,24.3839
1748437533,31.2,24.3935
1748437534,31.3,24.3836
1748437535,32.2,24.3847
1748437536,34.6,24.3696
1748437537,30.8,24.3708
1748437539,30.7,24.3939
1748437540,31.4,24.4118
1748437541,34.5,24.4012
1748437542,33.8,24.4015
1748437543,31.7,24.3939
1748437545,33.2,24.4133
1748437546,30.8,24.449
1748437547,33.5,24.4426
1748437548,32.5,24.4965
1748437549,35.9,24.4983
1748437551,34.4,24.5038
1748437552,30.1,24.4581
1748437553,32.2,24.4529
1748437554,32,24.4691
1748437555,35.7,24.4905
1748437557,33.2,24.4963
1748437558,34.8,24.5138
1748437559,31.7,24.5557
1748437560,32.9,24.5798
1748437562,35.3,24.5681
1748437563,32.4,24.5628
1748437564,33.7,24.5677
1748437565,34.3,24.5894
1748437566,35.3,24.603
1748437568,34.3,24.6234
1748437569,32.7,24.6369
1748437570,40.3,24.6067
1748437571,32.4,24.6372
1748437572,32.4,24.6368
1748437574,32.4,24.6573
1748437575,38.9,24.6414
1748437576,32,24.6592
1748437577,32.7,24.6659
1748437578,34.8,24.6526
1748437580,34.7,24.6467
1748437581,41,24.6608
1748437582,35.1,24.6803
1748437583,35.4,24.7391
1748437584,31.5,24.7132
1748437586,34.1,24.7651
1748437587,35.3,24.8221
1748437588,33,24.7948
1748437589,33.6,24.82
1748437591,36.2,24.7978
1748437592,42,24.8264
1748437593,31.9,24.8158
1748437594,33,24.8181
1748437595,31.9,24.845
1748437597,32.1,24.8544
1748437598,32.2,24.8428
1748437599,33.8,24.8848
1748437600,35.8,24.8827
1748437601,33.8,24.8317
1748437603,39.2,24.9047
1748437604,32.1,24.9195
1748437605,33,24.9371
1748437606,32.4,24.9274
1748437607,32.7,24.9312
1748437609,31.9,24.9591
1748437610,38.3,25.0276
1748437611,39.5,25.055
1748437612,37.8,25.0891
1748437613,41.1,25.1404
1748437615,32.5,25.1572
1748437616,37.6,25.1517
1748437617,39.3,25.2298
1748437618,38.4,25.2191
1748437620,35.8,25.2622
1748437621,38.3,25.2877
1748437622,38,25.2825
1748437623,36.8,25.2986
1748437624,40.1,25.3295
1748437626,39.3,25.3427
1748437627,37.2,25.426
1748437628,40.7,25.4433
1748437629,38.5,25.436
1748437630,41,25.3965
1748437632,39.3,25.4148
1748437633,39.9,25.4291
1748437634,38.7,25.4572
1748437635,41.9,25.5021
1748437637,41.6,25.5284
1748437638,40.4,25.5695
1748437639,37.4,25.5768
1748437640,36.9,25.5678
1748437641,35.5,25.6174
1748437643,33.5,25.6569
1748437644,31.6,25.6568
1748437645,31.5,25.631
1748437646,32.4,25.6393
1748437647,29.9,25.64
1748437649,31.9,25.6655
1748437650,30.7,25.6838
1748437651,30.7,25.668
1748437652,34.4,25.7038
1748437653,34.3,25.7192
1748437655,32.4,25.7447
1748437656,32.5,25.7344
1748437657,40.4,25.7845
1748437658,37.6,25.7599
1748437659,37.1,25.7647
1748437661,39.6,25.8123
1748437662,41.5,25.8463
1748437663,43,25.9918
1748437664,40.3,25.9972
1748437666,33.8,26.0451
1748437667,34.8,26.0808
1748437668,33.2,26.0601
1748437669,31.2,26.0728
1748437670,32.2,26.0437
1748437672,34.9,26.024
1748437673,31.5,26.0683
1748437674,31.6,26.1016
1748437675,32.2,26.1014
1748437676,35,26.1103
1748437678,31.7,26.127
1748437679,31.5,26.0923
1748437680,35.8,26.1219
1748437681,32.6,26.1141
1748437682,31.9,26.1037
1748437684,34,26.1559
1748437685,38.2,26.1766
1748437686,34.8,26.218
1748437687,33.2,26.2707
1748437689,34.2,26.332
1748437690,41.2,26.3093
1748437691,46.3,26.3169
1748437692,38.8,26.3198
